"ID","Extent","Region","Locality","Realm","Ecosystem.specificity","Period","Planning.purpose","Policy.relevance","Method","Biodiversity.type","Number.of.features","Multiple.objectives.or.constraints","Connectivity","Costs","Stakeholder.involvement","Authors","Title","Year","Journal","DOI","Link","Author.Keywords","Index.Keywords","Document.Type","Source","cite_scientific_May2023","cite_policy_May2023"
37,"Europe","Europe",NA,"Terrestrial","Wetlands","Contemporary only","Multiple","Habitats Directive","Integer programming","Species",70,"Costs","None","yes","no","Jantke K., Schleupner C., Schneider U.A.","Gap analysis of European wetland species: Priority regions for expanding the Natura 2000 network",2011,"Biodiversity and Conservation","10.1007/s10531-010-9968-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79951767546&doi=10.1007%2fs10531-010-9968-9&partnerID=40&md5=8d7e6ffa3b12addd1b3693d9c0200579","Effectiveness of reserve systems; Mathematical programming model; Persistence; Population viability; Representation; Systematic conservation planning","biodiversity; conservation planning; endangered species; European Union; gap dynamics; habitat fragmentation; nature reserve; numerical model; population density; population viability analysis; prioritization; vertebrate; wetland; Europe; Vertebrata","Article","Scopus",58,7
38,"Local","Poland","Carpathians","Terrestrial","All","Contemporary only","Representation","Habitats Directive","Other","NA",NA,"Constrains","None","no","yes","Grodzinska-Jurczak M., Cent J.","Expansion of nature conservation areas: Problems with natura 2000 implementation in Poland?",2011,"Environmental Management","10.1007/s00267-010-9583-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79151475687&doi=10.1007%2fs00267-010-9583-2&partnerID=40&md5=f6d25d56eebc91aa9df2b76dbfd9237d","Conflict management; Natura 2000; Nature conservation; Public participation; Sustainable development","Conflict management; Economic development; EU countries; European Union policy; Local authorities; Member countries; Natura 2000; Nature conservation; New Member States; Protected areas; Public acceptance; Public participation; Conservation; Planning; Sustainable development; Environmental protection; conflict management; economic development; environmental management; environmental protection; European Union; local participation; nature conservation; protected area; sustainable development; article; economic development; environmental management; environmental planning; environmental protection; European Union; government; land use; law; Poland; sustainable development; Conservation of Natural Resources; Data Collection; Environmental Policy; European Union; Humans; Poland; Policy Making; Public Opinion; Poland","Article","Scopus",126,21
39,"National","Italy",NA,"Terrestrial","All","Contemporary only","Representation","Global Strategy for Plant Conservation","GIS overlay/ Ranking / Clustering","Multiple",1516,"None","None","no","no","Blasi C., Marignani M., Copiz R., Fipaldini M., Bonacquisti S., Del Vico E., Rosati L., Zavattero L.","Important Plant Areas in Italy: From data to mapping",2011,"Biological Conservation","10.1016/j.biocon.2010.08.019","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78751569746&doi=10.1016%2fj.biocon.2010.08.019&partnerID=40&md5=e2e5a9d61b240eb54caa148d0fea2920","Database; Expert assessment; Global Strategy for Plant Conservation; Multi-taxon; Natura 2000; Site selection","protected area; site selection; species conservation; species diversity; species richness; taxonomy; vegetation mapping; Italy","Article","Scopus",90,3
40,"National","German","EEZ","Marine",NA,"Contemporary only","Management action","case study","GIS overlay/ Ranking / Clustering","Multiple",NA,"None","None","yes","no","Stelzenmüller V., Schulze T., Fock H.O., Berkenhagen J.","Integrated modelling tools to support risk-based decision-making in marine spatial management",2011,"Marine Ecology Progress Series","10.3354/meps09354","https://www.scopus.com/inward/record.uri?eid=2-s2.0-81255163757&doi=10.3354%2fmeps09354&partnerID=40&md5=f4c4efbca4483a7d10c049b164914732","Bayesian Belief Network; Fishing effort; GIS; Offshore wind energy; Plaice; Pleuronectes platessa; Regression kriging","Bayesian analysis; decision making; economic analysis; ecosystem approach; ecosystem management; fishery management; fishing effort; GIS; integrated approach; kriging; management practice; marine environment; numerical model; risk assessment; spatial analysis; temperature effect; vulnerability; Atlantic Ocean; North Sea; Pleuronectes; Pleuronectes platessa","Article","Scopus",32,2
41,"National","United Kingdom","Great Britain","Terrestrial",NA,"Contemporary only","Synergies/Tradeoffs","case study","Zonation","Multiple",400,"Multi-objective/criteria","None","yes","no","Moilanen A., Anderson B.J., Eigenbrod F., Heinemeyer A., Roy D.B., Gillings S., Armsworth P.R., Gaston K.J., Thomas C.D.","Balancing alternative land uses in conservation prioritization",2011,"Ecological Applications","10.1890/10-1865.1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79956224388&doi=10.1890%2f10-1865.1&partnerID=40&md5=08584dfa660326650ec64f0dc3573139","Ecosystem service; Land use planning; Multiobjective optimization; Opportunity cost; Reserve selection; Site selection; Software; Zonation","agricultural development; biodiversity; carbon balance; ecosystem service; land use planning; prioritization; site selection; software; urban area; urban development; agriculture; article; computer simulation; ecosystem; environmental protection; human; methodology; policy; theoretical model; United Kingdom; Agriculture; Computer Simulation; Conservation of Natural Resources; Ecosystem; Great Britain; Humans; Models, Theoretical; Urban Renewal; United Kingdom","Article","Scopus",153,3
42,"Regional","Spain, Portugal",NA,"Terrestrial","all","Both","Representation","case study","Marxan*","Species",65,"Constrains","Boundary","no","no","Carvalho, S. B., Brito, J. C., Crespo, E. G., Watts, M. E., & Possingham, H. P.","Conservation planning under climate change: Toward accounting for uncertainty in predicted species distributions to increase confidence in conservation investments in space and time.",2011,"Biological Conservation","10.1016/j.biocon.2011.04.024","https://www.sciencedirect.com/science/article/abs/pii/S0006320711001649",NA,NA,"Article","Manual",151,1
43,"Local","Spain","Guadiana River catchment","Freshwater","Rivers","Contemporary only","Priority places","Biodiversity Strategy, Habitats Directive","Marxan*","Species",10,"Costs","Structural","yes","no","Hermoso, V., Linke, S., Possingham, H. & Prenda, J.","Addressing longitudinal connectivity in the systematic conservation planning of fresh waters",2011,"Freshwater Biology","10.1111/j.1365-2427.2009.02390.x",NA,NA,NA,"Article","Manual",155,11
44,"Local","Spain","Castilla-La Mancha","Terrestrial","All","Contemporary only","Priority places","None","GIS overlay/ Ranking / Clustering","Species",312,"None","None","no","no","De la Montaña, E., Benayas, J. M. R., Vasques, A., Razola, I., & Cayuela, L.","Conservation planning of vertebrate diversity in a Mediterranean agricultural-dominant landscape",2011,"Biological Conservation","10.1016/j.biocon.2011.07.001",NA,NA,NA,"Article","Manual",15,3
45,"Europe","Austria, Belgium, Czech Republic, Denmark, Estonia, Finland, France, Germany, Greece, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Netherlands, Poland, Portugal,  Slovakia, Slovenia, Spain, Sweden, United Kingdom",NA,"Terrestrial","Wetlands","Contemporary only","Priority places","none","Integer programming","Species",69,"Costs","None","yes","no","Jantke and Schneider","Integrating Land Market Feedbacks into Conservation Planning—A Mathematical Programming Approach",2011,"Environmental Modeling & Assessment","10.1007/s10666-010-9242-2",NA,NA,NA,"Article","Manual",15,0
46,"Local","Greece","Greek Ionian sea","Marine","all","Contemporary only","Priority places","Habitats Directive","Marxan*","Multiple",19,"Costs","Boundary","yes","no","Giakoumi S., Katsanevakis S., Vassilopoulou V., Panayotidis P., Kavadas S., Issaris Y., Kokkali A., Frantzis A., Panou A., Mavrommati G.","Could European marine conservation policy benefit from systematic conservation planning?",2012,"Aquatic Conservation: Marine and Freshwater Ecosystems","10.1002/aqc.2273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84870693263&doi=10.1002%2faqc.2273&partnerID=40&md5=8b7d36d77ed763d7455721170b7d5918","Biodiversity; Birds; Coastal; Ecosystem approach; Fishing; Habitats Directive; Invertebrates; Lagoon; Mammals; Recreation","biodiversity; conservation planning; ecosystem approach; endangered species; fishing effort; habitat conservation; lagoon; mammal; marine environment; marine park; marine policy; prioritization; recreational activity; software; Greece; Ionian Sea; Mediterranean Sea; Aves; Invertebrata; Mammalia","Article","Scopus",37,1
47,"Local","Germany","Barnstädt","Terrestrial","Shrubland, Cropland","Contemporary only","Multiple","None","Integer programming","Ecosystems",1,"Multi-objective/criteria","Structural","no","no","Meyer B.C., Wolf T., Grabaum R.","A multifunctional assessment method for compromise optimisation of linear landscape elements",2012,"Ecological Indicators","10.1016/j.ecolind.2011.07.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861097497&doi=10.1016%2fj.ecolind.2011.07.020&partnerID=40&md5=35abb942c84450d0a5648aa0d312a0a6","Hedges; Landscape function; Landscape modelling; Landscape planning; Multicriteria decision making","Assessment methods; Combined method; Farmland birds; Germany; Habitat suitability; Hedges; Land-use decisions; Landscape development; Landscape elements; Landscape modelling; Landscape planning; Line generator; Linear element; Multi criteria decision making; Multi-functional; Optimal allocation; Optimisations; Saxony-anhalt; Spatial orientations; Spatial risk assessment; Water erosion risks; Wind erosions; Decision making; Erosion; Game theory; Risk assessment; Visualization; Optimization; agricultural land; decision making; GIS; hedgerow; integrated approach; landscape planning; linearity; numerical model; optimization; risk assessment; visualization; water erosion; Germany; Saxony-Anhalt; Aves; Emberiza calandra; Zea mays","Article","Scopus",17,0
48,"Local","Italy","Apulia","Terrestrial","All","Contemporary only","Representation","Case study","GIS overlay/ Ranking / Clustering","Multiple",NA,"None","None","no","yes","Dal Sasso P., Ottolino M.A., Caliandro L.P.","Identification of quarries rehabilitation scenarios: A case study within the metropolitan area of Bari (Italy)",2012,"Environmental Management","10.1007/s00267-012-9847-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84866776776&doi=10.1007%2fs00267-012-9847-0&partnerID=40&md5=cbea6f81b1d3858e653541a1b35b6dd6","Abandoned quarries; Decision making; Metropolitan area; Multi-criteria analysis; Reuse alternatives; Territorial redevelopment","Agricultural robots; Decision making; Materials extraction; Metropolitan area; Multi Criteria Analysis; Parameters identification; Reuse alternatives; Service functions; Spatial complexity; Territorial redevelopment; Quarries; abandoned land; complexity; decision making; environmental degradation; metropolitan area; mining; multicriteria analysis; quarry; restoration ecology; territoriality; agricultural land; Article; building material; city; ecosystem restoration; forest; forestry; geographic information system; Italy; landscape; urban area; vineyard; article; city planning; ecosystem; environmental monitoring; environmental protection; government regulation; legal aspect; methodology; mining; urbanization; Bari [Puglia]; Italy; Puglia; City Planning; Conservation of Natural Resources; Ecosystem; Environmental Monitoring; Government Regulation; Italy; Mining; Urbanization","Article","Scopus",23,0
49,"National","Finland",NA,"Terrestrial","All","Contemporary only","Priority places","None","Zonation","Ecosystems",20,"None","Structural","no","no","Arponen A., Lehtomäki J., Leppänen J., Tomppo E., Moilanen A.","Effects of Connectivity and Spatial Resolution of Analyses on Conservation Prioritization across Large Extents",2012,"Conservation Biology","10.1111/j.1523-1739.2011.01814.x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84858866977&doi=10.1111%2fj.1523-1739.2011.01814.x&partnerID=40&md5=d566a59f083a32002db7eb0be5effee1","Fine resolution; Grain; High resolution; Reserve selection; Scale; Spatial optimization; Uncertainty; Zonation software","connectivity; land cover; optimization; prioritization; software; spatial distribution; spatial resolution; species conservation; uncertainty analysis; zonation; article; computer program; environmental protection; tree; uncertainty; Conservation of Natural Resources; Software; Trees; Uncertainty; Finland","Article","Scopus",52,1
50,"National","Italy",NA,"Terrestrial",NA,"Contemporary only","Representation","case study","Marxan*","Multiple",879,"None","None","no","no","Marignani M., Blasi C.","Looking for important plant areas: Selection based on criteria, complementarity, or both?",2012,"Biodiversity and Conservation","10.1007/s10531-012-0283-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84861728264&doi=10.1007%2fs10531-012-0283-5&partnerID=40&md5=434396584f2a5449671f23aec777c055","Global strategy for plant conservation; Italy; Methods; Site selection","agricultural land; complementarity; habitat conservation; land cover; multicriteria analysis; protected area; site selection; species diversity; species richness; taxonomy; Italy","Article","Scopus",30,1
